"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"19001",18347,65,0.0860876441557558,54.7142857142857,1,0.7,0,8,0.01,0.269230769230769,0,"Colombia"
"19002",18348,66,-0.052255926150662,54.4285714285714,0,0.714285714285714,0,8,0.01,0.283018867924528,0,"Colombia"
"19003",18349,67,-0.0380297768590719,58.8571428571429,0,0.727272727272727,0,8,0.01,0.296296296296296,0,"Colombia"
"19004",18350,68,-0.00381759468137638,67.2857142857143,0,0.739130434782609,0,8,0.01,0.309090909090909,0,"Colombia"
"19005",18351,69,-0.0162419744361278,74.4285714285714,0,0.75,0,8,0.01,0.321428571428571,0,"Colombia"
"19006",18352,70,-0.151339294013187,75.4285714285714,0,0.76,0,8,0.01,0.333333333333333,0,"Colombia"
"19007",18353,71,0.0637885142513871,85,1,0.769230769230769,0,8,0.01,0.344827586206897,0,"Colombia"
"19008",18354,72,0.233231130407649,95.7142857142857,1,0.777777777777778,0,8,0.01,0.355932203389831,0,"Colombia"
"19009",18355,73,0.105958444262651,104,1,0.785714285714286,0,10,0.01,0.366666666666667,0,"Colombia"
"19010",18356,74,0.105221198701534,114,1,0.793103448275862,0,11,0.01,0.377049180327869,0,"Colombia"
"19011",18357,75,0.0444854733099582,111.857142857143,1,0.8,0,11,0.01,0.387096774193548,0,"Colombia"
"19012",18358,76,-0.0100445170304157,111.571428571429,0,0.806451612903226,0,11,0.01,0.396825396825397,0,"Colombia"
"19013",18359,77,0.0236587224051649,124.857142857143,1,0.8125,0,14,0.01,0.40625,0,"Colombia"
"19014",18360,78,0.0918861837016493,141.285714285714,1,0.818181818181818,0,14,0.01,0.415384615384615,0,"Colombia"
"19015",18361,79,0.0814760511208548,151.714285714286,1,0.823529411764706,0,14,0.01,0.424242424242424,0,"Colombia"
"19016",18362,80,0.107098636347245,172.285714285714,1,0.828571428571429,0,14,0.01,0.432835820895522,0,"Colombia"
"19017",18363,81,0.098041389512756,186.142857142857,1,0.833333333333333,0,14,0.01,0.441176470588235,0,"Colombia"
"19018",18364,82,0.0397783018311766,184.428571428571,1,0.837837837837838,0,16,0.01,0.449275362318841,0,"Colombia"
"19019",18365,83,0.0112176253030579,181.857142857143,1,0.842105263157895,0,21,0.01,0.457142857142857,0,"Colombia"
"19020",18366,84,-0.00774549058431236,171.285714285714,0,0.846153846153846,0,21,0.01,0.464788732394366,0,"Colombia"
"19021",18367,85,-0.0314608967826489,150.142857142857,0,0.85,0,21,0.01,0.472222222222222,0,"Colombia"
"19022",18368,86,-0.0449801526158018,144.285714285714,0,0.853658536585366,0,21,0.01,0.479452054794521,0,"Colombia"
"19023",18369,87,-0.063391586575879,138,0,0.857142857142857,0,21,0.01,0.486486486486487,0,"Colombia"
"19024",18370,88,-0.0437404437473809,130.285714285714,0,1,0.14,28,0.07,0.418918918918919,1,"Colombia"
"19025",18371,89,-0.0437793569579775,145.142857142857,0,1,0.156862745098039,28,0.07,0.418918918918919,1,"Colombia"
"19026",18372,90,-0.0417712600091616,160.714285714286,0,1,0.173076923076923,28,0.07,0.418918918918919,1,"Colombia"
"19027",18373,91,-0.0328076985400803,167.142857142857,0,1,0.188679245283019,28,0.07,0.418918918918919,1,"Colombia"
"19028",18374,92,-0.0207344132296444,178.714285714286,0,1,0.203703703703704,28,0.07,0.418918918918919,1,"Colombia"
"19029",18375,93,-0.0178416359731975,189.714285714286,0,1,0.218181818181818,28,0.07,0.418918918918919,1,"Colombia"
"19030",18376,94,-0.01147255985802,206,0,1,0.232142857142857,28,0.07,0.418918918918919,1,"Colombia"
"19031",18377,95,-0.00430790345470111,217.285714285714,0,1,0.245614035087719,28,0.07,0.418918918918919,1,"Colombia"
"19032",18378,96,0.00685198005718519,226.714285714286,0,1,0.241379310344828,28,0.07,0.413333333333333,1,"Colombia"
"19033",18379,97,0.00758345689254055,231.428571428571,0,1,0.23728813559322,28,0.07,0.407894736842105,1,"Colombia"
"19034",18380,98,0.0359984056542548,257.142857142857,0,1,0.233333333333333,28,0.07,0.402597402597403,1,"Colombia"
"19035",18381,99,0.0398880363534384,264.428571428571,0,1,0.229508196721311,28,0.07,0.397435897435897,1,"Colombia"
"19036",18382,100,0.0554808877635543,278,0,1,0.225806451612903,28,0.07,0.392405063291139,1,"Colombia"
"19037",18383,101,0.0852625267584165,303.571428571429,1,1,0.222222222222222,28,0.07,0.3875,1,"Colombia"
"19038",18384,102,0.0684418693393434,306.142857142857,0,1,0.21875,28,0.07,0.382716049382716,1,"Colombia"
"19039",18385,103,0.0722498691898687,327,1,1,0.215384615384615,28,0.07,0.378048780487805,1,"Colombia"
"19040",18386,104,0.0625852517646296,339.428571428571,0,1,0.212121212121212,28,0.07,0.373493975903614,1,"Colombia"
"19041",18387,105,0.129918350259053,380.571428571429,1,1,0.208955223880597,25,0.07,0.369047619047619,1,"Colombia"
"19042",18388,106,0.110163768783942,393.142857142857,1,1,0.208955223880597,25,0.07,0.376470588235294,1,"Colombia"
"19043",18389,107,0.108971889026892,421.285714285714,1,1,0.205882352941176,25,0.07,0.372093023255814,1,"Colombia"
"19044",18390,108,0.0898909422949597,435,1,1,0.205882352941176,25,0.07,0.379310344827586,1,"Colombia"
"19045",18391,109,0.0807120024553481,458.571428571429,1,1,0.205882352941176,25,0.07,0.386363636363636,1,"Colombia"
"19046",18392,110,0.0683615170072758,485,0,1,0.205882352941177,25,0.07,0.393258426966292,1,"Colombia"
"19047",18393,111,0.0676804123677365,520,0,1,0.205882352941176,25,0.07,0.4,1,"Colombia"
"19048",18394,112,0.0419108343340807,522.714285714286,0,1,0.205882352941176,25,0.07,0.406593406593407,1,"Colombia"
"19049",18395,113,0.0461704916390769,567.285714285714,0,1,0.205882352941176,25,0.07,0.41304347826087,1,"Colombia"
"19050",18396,114,0.0464308638395351,593.428571428571,0,1,0.205882352941177,25,0.07,0.419354838709677,1,"Colombia"
"19051",18397,115,0.0322119224931758,595,0,1,0.205882352941176,25,0.07,0.425531914893617,1,"Colombia"
"19052",18398,116,0.0376586183072509,634.857142857143,0,1,0.205882352941176,25,0.07,0.431578947368421,1,"Colombia"
"19053",18399,117,0.027354120092595,644.428571428571,0,1,0.202898550724638,25,0.07,0.427083333333333,1,"Colombia"
"19054",18400,118,0.025597255448144,668.857142857143,0,1,0.2,25,0.07,0.422680412371134,1,"Colombia"
"19055",18401,119,0.0133549084965694,666.142857142857,0,1,0.197183098591549,25,0.07,0.418367346938776,1,"Colombia"
"19056",18402,120,0.00804241179239239,679.571428571429,0,1,0.194444444444444,25,0.07,0.414141414141414,1,"Colombia"
"19057",18403,121,-0.00512852827174998,674.285714285714,0,1,0.191780821917808,25,0.07,0.41,1,"Colombia"
"19058",18404,122,-0.00721709598441271,702.142857142857,0,1,0.189189189189189,25,0.07,0.405940594059406,1,"Colombia"
