"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"60",18342,60,0.0197957345835907,2.14285714285714,1,0.76,0,17,0.01,0.404255319148936,0,"Afghanistan"
"61",18343,61,0.058368637577479,2.57142857142857,1,0.769230769230769,0,17,0.01,0.416666666666667,0,"Afghanistan"
"62",18344,62,0.149684012486179,3.28571428571429,1,0.777777777777778,0,17,0.01,0.428571428571429,0,"Afghanistan"
"63",18345,63,0.0654786685220247,3.28571428571429,1,0.785714285714286,0,17,0.01,0.44,0,"Afghanistan"
"64",18346,64,0.952802644949437,7.42857142857143,1,0.793103448275862,0,17,0.01,0.450980392156863,0,"Afghanistan"
"65",18347,65,0.304858348872107,7.85714285714286,1,0.8,0,18,0.01,0.461538461538462,0,"Afghanistan"
"66",18348,66,0.226168871665855,8.85714285714286,1,0.806451612903226,0,18,0.01,0.471698113207547,0,"Afghanistan"
"67",18349,67,0.235266127646258,11,1,0.8125,0,20,0.01,0.481481481481481,0,"Afghanistan"
"68",18350,68,0.175434510915532,12,1,0.818181818181818,0,20,0.01,0.490909090909091,0,"Afghanistan"
"69",18351,69,0.205709394635537,15,1,0.823529411764706,0,20,0.01,0.5,0,"Afghanistan"
"70",18352,70,0.232052456342478,18.8571428571429,1,0.828571428571429,0,20,0.01,0.508771929824561,0,"Afghanistan"
"71",18353,71,0.10104512584502,17.2857142857143,1,0.833333333333333,0,20,0.01,0.517241379310345,0,"Afghanistan"
"72",18354,72,0.167785782835188,22.8571428571429,1,0.837837837837838,0,20,0.01,0.525423728813559,0,"Afghanistan"
"73",18355,73,0.159922832634409,26.2857142857143,1,0.842105263157895,0,20,0.01,0.533333333333333,0,"Afghanistan"
"74",18356,74,0.114573605537427,27.5714285714286,1,0.846153846153846,0,20,0.01,0.540983606557377,0,"Afghanistan"
"75",18357,75,0.116177913746733,31.4285714285714,1,0.85,0,20,0.01,0.548387096774194,0,"Afghanistan"
"76",18358,76,0.0750503455380844,31.7142857142857,1,0.853658536585366,0,20,0.01,0.555555555555556,0,"Afghanistan"
"77",18359,77,0.0791522010534904,35.5714285714286,1,0.857142857142857,0,20,0.01,0.5625,0,"Afghanistan"
"78",18360,78,0.0451467653730729,35.4285714285714,1,0.86046511627907,0,20,0.01,0.569230769230769,0,"Afghanistan"
"79",18361,79,0.0205783257513232,35,1,0.863636363636364,0,20,0.01,0.575757575757576,0,"Afghanistan"
"80",18362,80,0.00985146459296662,36.7142857142857,0,0.866666666666667,0,20,0.01,0.582089552238806,0,"Afghanistan"
"81",18363,81,-0.00941965861718549,36.5714285714286,0,0.869565217391304,0,20,0.01,0.588235294117647,0,"Afghanistan"
"82",18364,82,-0.0148012191730949,38.5714285714286,0,0.872340425531915,0,20,0.01,0.594202898550725,0,"Afghanistan"
"83",18365,83,-0.0149819163753442,42.5714285714286,0,0.875,0,20,0.01,0.6,0,"Afghanistan"
"84",18366,84,-0.0169206928382934,41.5714285714286,0,0.877551020408163,0,20,0.01,0.605633802816901,0,"Afghanistan"
"85",18367,85,0.0090126107635033,48.5714285714286,0,0.88,0,20,0.01,0.611111111111111,0,"Afghanistan"
"86",18368,86,0.00221776330985528,50.8571428571429,0,0.882352941176471,0,20,0.01,0.616438356164384,0,"Afghanistan"
"87",18369,87,0.00619248780030396,53.5714285714286,0,0.884615384615385,0,21,0.01,0.621621621621622,0,"Afghanistan"
"88",18370,88,0.00126276909389463,54,0,0.886792452830189,0,23,0.01,0.626666666666667,0,"Afghanistan"
"89",18371,89,-0.00104035593010643,55.5714285714286,0,0.888888888888889,0,24,0.01,0.631578947368421,0,"Afghanistan"
"90",18372,90,-0.0326597845461454,51.5714285714286,0,0.890909090909091,0,24,0.01,0.636363636363636,0,"Afghanistan"
"91",18373,91,-0.0134905692859839,54,0,0.892857142857143,0,27,0.01,0.641025641025641,0,"Afghanistan"
"92",18374,92,-0.0187032541814398,56,0,0.894736842105263,0,27,0.01,0.645569620253165,0,"Afghanistan"
"93",18375,93,-0.0280486143376323,56.4285714285714,0,0.896551724137931,0,27,0.01,0.65,0,"Afghanistan"
"94",18376,94,-0.0185708832635841,60.5714285714286,0,0.898305084745763,0,27,0.01,0.654320987654321,0,"Afghanistan"
"95",18377,95,0.0461906445241612,75.7142857142857,1,0.9,0,27,0.01,0.658536585365854,0,"Afghanistan"
"96",18378,96,0.030534264802344,76.4285714285714,1,0.901639344262295,0,29,0.01,0.662650602409639,0,"Afghanistan"
