"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"31717",18439,157,0.00658587178937198,512.571428571429,0,0.830279652844745,0.798822374877331,7,0.01,0.67741935483871,0.902439024390244,"France"
"31718",18440,158,0.0109871670368239,488.142857142857,0,0.845255837059116,0.795109909486305,13,0.05,0.661290322580645,0.91566265060241,"France"
"31719",18441,159,0.752061297049885,381.142857142857,0,0.845360824742268,0.797101449275362,13,0.05,0.661290322580645,0.916666666666667,"France"
"31720",18442,160,0.033962691903276,453,0,0.845463367297428,0.799054373522459,13,0.05,0.661290322580645,0.917647058823529,"France"
"31721",18443,161,0.110843776784745,416.285714285714,0,0.845563549160671,0.800969803835133,13,0.05,0.661290322580645,0.918604651162791,"France"
"31722",18444,162,0.0126021549779576,519.428571428571,0,0.845661450924609,0.802848818387828,13,0.05,0.661290322580645,0.919540229885057,"France"
"31723",18445,163,0.0926682211195396,560,1,0.845757149554618,0.804692454026633,13,0.05,0.661290322580645,0.920454545454545,"France"
"31724",18446,164,-0.0098868904225297,456.571428571429,0,0.845850718590635,0.806501708251372,13,0.05,0.661290322580645,0.921348314606742,"France"
"31725",18447,165,-0.00032204565561761,443.714285714286,0,0.845942228335626,0.808277541083384,13,0.05,0.661290322580645,0.922222222222222,"France"
"31726",18448,166,-0.0169277131624032,503.285714285714,0,0.846031746031746,0.810020876826722,13,0.05,0.661290322580645,0.923076923076923,"France"
"31727",18449,167,0.0686500325430915,556.571428571429,1,0.846119336025123,0.811732605729877,13,0.05,0.661290322580645,0.923913043478261,"France"
"31728",18450,168,0.0836171938491879,558.428571428571,1,0.846205059920106,0.8134135855546,13,0.05,0.661290322580645,0.924731182795699,"France"
"31729",18451,169,0.00438481654351546,534.428571428571,0,0.846288976723759,0.815064643057898,13,0.05,0.661290322580645,0.925531914893617,"France"
"31730",18452,170,0.00531160878710537,520.857142857143,0,0.828194769296194,0.8149693934335,13,0.05,0.661290322580645,0.91578947368421,"France"
"31731",18453,171,0.033075250467629,546,0,0.828282828282828,0.816593886462882,13,0.05,0.661290322580645,0.916666666666667,"France"
"31732",18454,172,-0.177288166233079,530.714285714286,0,0.828369089772964,0.818189932167083,13,0.05,0.661290322580645,0.917525773195876,"France"
"31733",18455,173,-0.0515521859365164,531.428571428571,0,0.828453608247423,0.819758276405675,13,0.05,0.661290322580645,0.918367346938776,"France"
"31734",18456,174,-0.124941554084208,589.285714285714,0,0.811151079136691,0.819672131147541,13,0.05,0.661290322580645,0.909090909090909,"France"
"31735",18457,175,-0.000806448710970582,533.285714285714,0,0.794573643410853,0.819587628865979,13,0.05,0.661290322580645,0.9,"France"
"31736",18458,176,-0.0275645688616687,519.714285714286,0,0.794665131452696,0.821133412042503,13,0.05,0.661290322580645,0.900990099009901,"France"
"31737",18459,177,-0.144483088967726,537.571428571429,0,0.794754846066135,0.822652757078987,13,0.05,0.661290322580645,0.901960784313726,"France"
"31738",18460,178,-0.358660807733103,553.857142857143,0,0.794842838321099,0.824146341463415,13,0.05,0.661290322580645,0.902912621359223,"France"
"31739",18461,179,-0.136159268843914,541.285714285714,0,0.794929157345265,0.825614819546471,13,0.05,0.661290322580645,0.903846153846154,"France"
"31740",18462,180,-0.0251859557021966,539.571428571429,0,0.795013850415512,0.827058823529412,13,0.05,0.661290322580645,0.904761904761905,"France"
"31741",18463,181,0.42618577636794,609.285714285714,1,0.795096963044274,0.828478964401295,13,0.05,0.661290322580645,0.905660377358491,"France"
"31742",18464,182,0.785878605131009,685.428571428571,1,0.795178539061084,0.829875832828589,13,0.05,0.661290322580645,0.906542056074766,"France"
"31743",18465,183,0.33536928885742,713.142857142857,1,0.795258620689655,0.83125,13,0.05,0.661290322580645,0.907407407407407,"France"
"31744",18466,184,0.443733493727561,808.428571428571,1,0.795337248620751,0.832602018429136,13,0.05,0.661290322580645,0.908256880733945,"France"
"31745",18467,185,0.24574234416394,845.857142857143,1,0.795337248620751,0.826017557861133,13,0.05,0.650793650793651,0.908256880733945,"France"
"31746",18468,186,0.107139917566723,835.142857142857,1,0.795337248620751,0.81953642384106,13,0.05,0.640625,0.908256880733945,"France"
"31747",18469,187,0.0811508169961667,834.571428571429,1,0.795337248620751,0.813156203128348,13,0.05,0.630769230769231,0.908256880733945,"France"
"31748",18470,188,0.0893649234985959,917,1,0.799231843575419,0.813156203128348,13,0.05,0.636363636363636,0.908256880733945,"France"
"31749",18471,189,0.0202990797483763,912.571428571429,0,0.802980983381874,0.813156203128348,13,0.05,0.641791044776119,0.908256880733945,"France"
"31750",18472,190,0.0482743317197962,991,0,0.806592667339388,0.813156203128348,13,0.05,0.647058823529412,0.908256880733945,"France"
"31751",18473,191,0.0200653761806197,1012.85714285714,0,0.810074318744839,0.813156203128348,13,0.05,0.652173913043478,0.908256880733945,"France"
"31752",18474,192,-0.0250887779935622,1043.85714285714,0,0.813432835820896,0.813156203128348,13,0.05,0.657142857142857,0.908256880733945,"France"
"31753",18475,193,-0.103026513598924,1040.28571428571,0,0.816674637334609,0.813156203128348,13,0.05,0.661971830985915,0.908256880733945,"France"
"31754",18476,194,-0.11242377577364,1040.71428571429,0,0.81980570354121,0.813156203128348,13,0.05,0.666666666666667,0.908256880733945,"France"
"31755",18477,195,0.021795089049614,1165.28571428571,0,0.822831613002619,0.813156203128348,13,0.05,0.671232876712329,0.908256880733945,"France"
"31756",18478,196,0.034822010226033,1223.42857142857,0,0.822831613002619,0.806874557051736,13,0.05,0.662162162162162,0.908256880733945,"France"
"31757",18479,197,0.0242225130723069,1257.42857142857,0,0.811615785554728,0.805287602715255,15,0.05,0.666666666666667,0.899082568807339,"France"
"31758",18480,198,0.0602385468640354,1287.71428571429,1,0.83767252195734,0.796233469500796,30,0.01,0.644736842105263,0.917431192660551,"France"
"31759",18481,199,0.083114895915682,1441.85714285714,1,0.840400925212028,0.796233469500796,30,0.01,0.649350649350649,0.917431192660551,"France"
"31760",18482,200,0.058211667763635,1442.85714285714,1,0.843039126478617,0.796233469500796,30,0.01,0.653846153846154,0.917431192660551,"France"
"31761",18483,201,0.0457006453328133,1447.42857142857,1,0.845591526182306,0.796233469500796,30,0.01,0.658227848101266,0.917431192660551,"France"
"31762",18484,202,0.0730031999592273,1643.28571428571,1,0.848062243100411,0.796233469500796,30,0.01,0.6625,0.917431192660551,"France"
