dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18346,64,0.0286036098062371,19.7142857142857,1,0.7,0,9,0.01,0.274509803921569,0
18347,65,-0.107774122032004,18.2857142857143,0,0.714285714285714,0,9,0.01,0.288461538461538,0
18348,66,-0.122602656572543,21.1428571428571,0,0.727272727272727,0,9,0.01,0.30188679245283,0
18349,67,-0.0705988517488019,23.5714285714286,0,0.739130434782609,0,9,0.01,0.314814814814815,0
18350,68,0.134485773291582,28.1428571428571,1,0.75,0,9,0.01,0.327272727272727,0
18351,69,0.156311373148604,33.1428571428571,1,0.76,0,9,0.01,0.339285714285714,0
18352,70,0.1860718637986,36.2857142857143,1,0.769230769230769,0,9,0.01,0.350877192982456,0
18353,71,0.159759915330763,40.4285714285714,1,0.777777777777778,0,9,0.01,0.362068965517241,0
18354,72,0.156326521113485,48.8571428571429,1,0.785714285714286,0,14,0.01,0.372881355932203,0
18355,73,0.0869969699663806,48.8571428571429,1,0.793103448275862,0,14,0.01,0.383333333333333,0
18356,74,0.0578137038276874,52.2857142857143,1,0.8,0,14,0.01,0.39344262295082,0
18357,75,-0.00464267804597669,47.2857142857143,0,0.806451612903226,0,14,0.01,0.403225806451613,0
18358,76,-0.0459866604118892,43.7142857142857,0,0.8125,0,14,0.01,0.412698412698413,0
18359,77,-0.0125722659023451,49.1428571428571,0,0.818181818181818,0,14,0.01,0.421875,0
18360,78,-0.0461954505407306,49.2857142857143,0,0.823529411764706,0,14,0.01,0.430769230769231,0
18361,79,-0.119510557521542,46.4285714285714,0,0.828571428571429,0,14,0.01,0.439393939393939,0
18362,80,-0.151475963131135,46,0,0.833333333333333,0,14,0.01,0.447761194029851,0
18363,81,-0.0579070432396393,46,0,1,0.155555555555556,21,0.07,0.432835820895522,1
18364,82,-0.0397541531418537,50.7142857142857,0,1,0.173913043478261,21,0.07,0.432835820895522,1
18365,83,-0.0487320738745111,51.8571428571429,0,1,0.191489361702128,21,0.07,0.432835820895522,1
18366,84,-0.0607480596794521,45.5714285714286,0,1,0.208333333333333,21,0.07,0.432835820895522,1
18367,85,-0.0868089546889353,43.7142857142857,0,1,0.224489795918367,21,0.07,0.432835820895522,1
18368,86,-0.136296605991174,44.1428571428571,0,1,0.24,21,0.07,0.432835820895522,1
18369,87,-0.160390712356388,44.7142857142857,0,1,0.254901960784314,21,0.07,0.432835820895522,1
18370,88,-0.205566440664173,46,0,1,0.269230769230769,21,0.07,0.432835820895522,1
18371,89,-0.193482070993383,39.4285714285714,0,1,0.283018867924528,21,0.07,0.432835820895522,1
18372,90,-0.121799580386332,38.8571428571429,0,1,0.296296296296296,21,0.07,0.432835820895522,1
18373,91,-0.0177461856588264,37,0,1,0.309090909090909,21,0.07,0.432835820895522,1
18374,92,0.0680474060735475,36.8571428571429,0,1,0.321428571428571,21,0.07,0.432835820895522,1
18375,93,0.103936442669804,35.1428571428571,0,1,0.333333333333333,21,0.07,0.432835820895522,1
18376,94,0.186808580526917,29.5714285714286,0,1,0.344827586206897,21,0.07,0.432835820895522,1
18377,95,0.0523797555744162,31.1428571428571,0,1,0.355932203389831,21,0.07,0.432835820895522,1
18378,96,0.0452645012967166,33,0,1,0.366666666666667,21,0.07,0.432835820895522,1
18379,97,0.0167146450021367,36.5714285714286,0,1,0.377049180327869,21,0.07,0.432835820895522,1
18380,98,-0.00520200634533697,34.7142857142857,0,1,0.387096774193548,21,0.07,0.432835820895522,1
18381,99,-0.0338025504387695,44.1428571428571,0,1,0.396825396825397,21,0.07,0.432835820895522,1
18382,100,0.0223501971130714,49.1428571428571,0,1,0.40625,21,0.07,0.432835820895522,1
18383,101,0.0468922322104066,51.4285714285714,0,1,0.415384615384615,21,0.07,0.432835820895522,1
18384,102,0.0316873277225178,50.4285714285714,0,1,0.409090909090909,21,0.07,0.426470588235294,1
18385,103,-0.0167405291418894,48.7142857142857,0,1,0.402985074626866,21,0.07,0.420289855072464,1
18386,104,-0.00307704413700187,51.5714285714286,0,1,0.397058823529412,21,0.07,0.414285714285714,1
18387,105,0.0431005965311943,51.5714285714286,0,1,0.391304347826087,21,0.07,0.408450704225352,1
18388,106,0.00121688212458482,44.2857142857143,0,1,0.385714285714286,21,0.07,0.402777777777778,1
18389,107,0.00184300246049727,38.5714285714286,0,1,0.380281690140845,21,0.07,0.397260273972603,1
18390,108,-0.00505717089959395,41.2857142857143,0,1,0.388888888888889,21,0.07,0.397260273972603,1
18391,109,0.00229580372257245,35.8571428571429,0,1,0.397260273972603,21,0.07,0.397260273972603,1
18392,110,0.00573086841933972,37.1428571428571,0,1,0.405405405405405,21,0.07,0.397260273972603,1
18393,111,0.0447694412970879,30.7142857142857,0,1,0.413333333333333,21,0.07,0.397260273972603,1
18394,112,0.038514678386467,30.2857142857143,0,1,0.421052631578947,21,0.07,0.397260273972603,1
18395,113,0.0553666172973202,27.7142857142857,0,1,0.428571428571429,21,0.07,0.397260273972603,1
18396,114,0.0466648288650374,27.2857142857143,0,1,0.435897435897436,21,0.07,0.397260273972603,1
18397,115,0.0480298768377971,23.7142857142857,0,1,0.443037974683544,21,0.07,0.397260273972603,1
18398,116,0.0374541424830402,25.2857142857143,0,1,0.45,21,0.07,0.397260273972603,1
18399,117,0.0445484418372407,24.7142857142857,0,1,0.45679012345679,21,0.07,0.397260273972603,1
18400,118,0.0544837581091864,23.2857142857143,0,1,0.463414634146341,21,0.07,0.397260273972603,1
18401,119,0.0441428629017875,23.2857142857143,0,1,0.469879518072289,21,0.07,0.397260273972603,1
18402,120,0.0308484425691246,22.4285714285714,0,1,0.476190476190476,21,0.07,0.397260273972603,1
