dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18435,153,0.025575835057937,1078.71428571429,0,0.896551724137931,0.434782608695652,28,0.05,0.495049504950495,0.871794871794872
18436,154,0.0187972543836343,1070.85714285714,0,0.948081264108352,0.425511197663096,29,0.08,0.415841584158416,0.95
18437,155,0.0143049779385436,1082.57142857143,0,0.948237885462555,0.431091251175917,29,0.08,0.415841584158416,0.951219512195122
18438,156,0.00458631887790338,1060.71428571429,0,0.948387096774194,0.43656207366985,29,0.08,0.415841584158416,0.952380952380952
18439,157,-0.0030407455301448,1089.14285714286,0,0.948529411764706,0.441926968763748,29,0.08,0.415841584158416,0.953488372093023
18440,158,-0.00391202147673338,1111.85714285714,0,0.948665297741273,0.447189097103918,29,0.08,0.415841584158416,0.954545454545455
18441,159,-0.0163198628553678,1159.85714285714,0,0.948795180722892,0.452351485148515,29,0.08,0.415841584158416,0.955555555555556
18442,160,-0.0158679075007368,1178.14285714286,0,0.948919449901768,0.457417033186725,29,0.08,0.415841584158416,0.956521739130435
18443,161,-0.0198280856841867,1212.71428571429,0,0.949038461538462,0.46238852268321,29,0.08,0.415841584158416,0.957446808510638
18444,162,-0.0136787356087246,1251.57142857143,0,0.949152542372881,0.467268623024831,29,0.08,0.415841584158416,0.958333333333333
18445,163,-0.00922411342282195,1315.28571428571,0,0.949261992619926,0.472059897735573,29,0.08,0.415841584158416,0.959183673469388
18446,164,-0.0297018794091911,1324,0,0.949367088607595,0.476764810216389,29,0.08,0.415841584158416,0.96
18447,165,-0.0366576191152867,1332.85714285714,0,0.881742738589212,0.496515679442509,28,0.05,0.495049504950495,0.882352941176471
18448,166,-0.0405481560477578,1391.28571428571,0,0.881953867028494,0.501503759398496,28,0.05,0.495049504950495,0.884615384615385
18449,167,-0.0296043001311446,1409.42857142857,0,0.882157123834887,0.506391526661797,28,0.05,0.495049504950495,0.886792452830189
18450,168,-0.0221390530898019,1405.85714285714,0,0.88235294117647,0.511182108626198,28,0.05,0.495049504950495,0.888888888888889
18451,169,0.0303098955437014,1472.71428571429,0,0.882541720154044,0.515878494994822,28,0.05,0.495049504950495,0.890909090909091
18452,170,0.115184695166515,1620.28571428571,1,0.882723833543506,0.52048354600403,28,0.05,0.495049504950495,0.892857142857143
18453,171,0.113215837804371,1664.57142857143,1,0.882723833543506,0.515635395874917,28,0.05,0.490196078431373,0.892857142857143
18454,172,0.0910322027795336,1696.57142857143,1,0.882723833543506,0.510876730388925,28,0.05,0.485436893203884,0.892857142857143
18455,173,0.0715872880293597,1707.14285714286,1,0.882723833543506,0.50620509470934,28,0.05,0.480769230769231,0.892857142857143
18456,174,0.0578595525259657,1717.57142857143,1,0.882723833543506,0.501618122977346,28,0.05,0.476190476190476,0.892857142857143
18457,175,0.0558302234316193,1763.71428571429,1,0.882723833543506,0.49711353431687,28,0.05,0.471698113207547,0.892857142857143
18458,176,0.00728591380611951,1716.42857142857,0,0.848944233892799,0.505025996533795,22,0.06,0.523364485981308,0.839285714285714
18459,177,-0.00307133584430905,1561.71428571429,0,0.894789579158316,0.489247311827957,30,0.06,0.439252336448598,0.912280701754386
18460,178,-0.0153984249395286,1540.42857142857,0,0.948922585794094,0.483540205072855,30,0.08,0.383177570093458,0.96551724137931
