dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18361,79,0.157497841767665,89.7142857142857,0,1,0.282608695652174,13,0.02,0.440677966101695,1
18362,80,0.0574208771126168,87.2857142857143,0,1,0.297872340425532,13,0.02,0.440677966101695,1
18363,81,0.0492976200318482,77.2857142857143,0,1,0.3125,13,0.02,0.440677966101695,1
18364,82,0.0517235315405265,68.1428571428571,0,1,0.326530612244898,13,0.02,0.440677966101695,1
18365,83,0.023483220593871,64.1428571428571,0,1,0.34,13,0.02,0.440677966101695,1
18366,84,0.089739108940781,48.1428571428571,0,1,0.352941176470588,13,0.02,0.440677966101695,1
18367,85,-0.00680218552799083,48.4285714285714,0,1,0.365384615384615,13,0.02,0.440677966101695,1
18368,86,-0.0482753385692363,47,0,1,0.377358490566038,13,0.02,0.440677966101695,1
18369,87,-0.000283725975408531,36.7142857142857,0,1,0.388888888888889,13,0.02,0.440677966101695,1
18370,88,-0.0349211040992216,38.1428571428571,0,1,0.4,13,0.02,0.440677966101695,1
18371,89,-0.0978425845385999,38.4285714285714,0,1,0.410714285714286,13,0.02,0.440677966101695,1
18372,90,-0.123228958891094,38,0,1,0.421052631578947,13,0.02,0.440677966101695,1
18373,91,-0.153638420492084,44.4285714285714,0,1,0.431034482758621,13,0.02,0.440677966101695,1
18374,92,-0.13146899909933,40.1428571428571,0,1,0.440677966101695,13,0.02,0.440677966101695,1
18375,93,-0.174010551170536,31.5714285714286,0,1,0.45,13,0.02,0.440677966101695,1
18376,94,-0.180468984830491,30.7142857142857,0,1,0.459016393442623,13,0.02,0.440677966101695,1
18377,95,-0.120386151780008,24.8571428571429,0,1,0.467741935483871,13,0.02,0.440677966101695,1
18378,96,-0.187664420162535,24.7142857142857,0,1,0.476190476190476,13,0.02,0.440677966101695,1
18379,97,0.0178023702090992,24.4285714285714,0,1,0.484375,13,0.02,0.440677966101695,1
18380,98,0.0655336245719695,17.5714285714286,0,1,0.492307692307692,13,0.02,0.440677966101695,1
18381,99,0.023066251140831,16.4285714285714,0,1,0.5,13,0.02,0.440677966101695,1
18382,100,0.0715617575927632,17,0,1,0.507462686567164,13,0.02,0.440677966101695,1
18383,101,0.0430714607385157,15.2857142857143,0,1,0.514705882352941,13,0.02,0.440677966101695,1
18384,102,0.0121829695687875,14.4285714285714,0,1,0.521739130434782,13,0.02,0.440677966101695,1
18385,103,-0.0192800218822109,14.4285714285714,0,1,0.528571428571428,13,0.02,0.440677966101695,1
18386,104,-0.171370981803091,14.1428571428571,0,1,0.535211267605634,13,0.02,0.440677966101695,1
18387,105,-0.221035432891062,14.1428571428571,0,1,0.541666666666667,13,0.02,0.440677966101695,1
18388,106,-0.102765065080321,11.7142857142857,0,1,0.547945205479452,13,0.02,0.440677966101695,1
18389,107,-0.166116413005345,10.7142857142857,0,1,0.554054054054054,13,0.02,0.440677966101695,1
18390,108,-0.0569811990169699,9.85714285714286,0,1,0.56,13,0.02,0.440677966101695,1
18391,109,-0.122475810379886,9.28571428571429,0,1,0.56578947368421,13,0.02,0.440677966101695,1
18392,110,-0.250694328922945,8.85714285714286,0,1,0.571428571428571,13,0.02,0.440677966101695,1
18393,111,-0.00372253714601667,8.57142857142857,0,1,0.576923076923077,13,0.02,0.440677966101695,1
